Action,Campaign,Ad group,Keyword,Match type,Status
Edit,KicksCrew -General -  SA,Generic 2 - KC online,متجر ملابس,Broad match,Paused
Edit,KicksCrew -General -  SA,Generic 2 - KC online,تسوق ملابس,Broad match,Paused
Edit,KicksCrew -General -  SA,Generic 2 - KC online,أحذية رياضية فخمة,Broad match,Paused
Edit,KicksCrew - Brand Search - SA,Nike,sports shoes,Broad match,Paused
Edit,KicksCrew -General -  SA,Generic 1 - Collection,buy sneakers online,Broad match,Paused
Edit,KicksCrew -General -  SA,Generic 1 - Collection,nike coconut milk,Broad match,Paused
Edit,KicksCrew -General -  SA,Generic 1 - Collection,افضل موقع احذية,Broad match,Paused
Edit,KicksCrew -General -  SA,Generic 1 - Collection,nike discount,Broad match,Paused
Edit,KicksCrew - Brand Search - SA,Nike,adidas co,Broad match,Paused
Edit,KicksCrew - Brand Search - SA,Nike,Asics,Broad match,Paused
Edit,KicksCrew - Brand Search - SA,Nike,new balance,Broad match,Paused
Edit,KicksCrew - Brand Search - SA,Uniqlo,كيكس كرو,Broad match,Paused
Edit,KicksCrew - Brand Search - SA,Nike,adidas boost,Broad match,Paused
