Action,Campaign,Ad group,Keyword,Match type,Max CPC bid,Status
Add,KicksCrew - Brand Search - SA,Asics,كيكس كرو,Exact match,11.7,Enabled
Add,KicksCrew - Brand Search - SA,Nike,كيكس كرو,Exact match,11.7,Enabled
Add,KicksCrew - Brand Search - SA,Hoka One One,كيكس كرو,Exact match,11.7,Enabled
Add,KicksCrew - Brand Search - SA,Pop Mart,كيكس كرو,Exact match,11.7,Enabled
Add,KicksCrew - Brand Search - SA,New Balance,كيكس كرو,Exact match,11.7,Enabled
Add,KicksCrew - Brand Search - SA,Pop Mart,بوب مارت,Exact match,7.8,Enabled
Add,KicksCrew - Brand Search - SA,Pop Mart,pop mart,Exact match,6.24,Enabled
Add,KicksCrew - Brand Search - SA,New Balance,نيو بالانس 530,Exact match,7.02,Enabled
Add,KicksCrew - Brand Search - SA,New Balance,new balance 530,Exact match,7.02,Enabled
Add,KicksCrew - Brand Search - SA,New Balance,new balance 720,Exact match,6.24,Enabled
Add,KicksCrew - Brand Search - SA,New Balance,new balance 500,Exact match,6.24,Enabled
Add,KicksCrew - Brand Search - SA,Asics,اسيكس جل كوانتوم,Exact match,7.8,Enabled
Add,KicksCrew - Brand Search - SA,Asics,asics gel quantum,Exact match,7.8,Enabled
Add,KicksCrew - Brand Search - SA,Asics,أحذية on running,Exact match,6.24,Enabled
Add,KicksCrew - Brand Search - SA,Hoka One One,هوكا للمشي,Exact match,5.46,Enabled
Add,KicksCrew - Brand Search - SA,Hoka One One,هوكا للجري,Exact match,5.46,Enabled
Add,KicksCrew - Brand Search - SA,Air Jordan,جوردن شوز,Exact match,6.24,Enabled
Add,KicksCrew -General -  SA,Generic 1 - Collection,kickscrew shoes,Exact match,9.36,Enabled
Add,KicksCrew -General -  SA,Generic 1 - Collection,kickscrew ksa,Exact match,9.36,Enabled
Add,KicksCrew -General -  SA,Generic 1 - Collection,kickscrew,Exact match,9.36,Enabled
Add,KicksCrew -General -  SA,Generic 2 - KC online,كيكس كرو,Exact match,11.7,Enabled
Add,KicksCrew -General -  SA,Generic 2 - KC online,كيكسكرو,Exact match,11.7,Enabled
Add,KicksCrew -General -  SA,Generic 1 - Collection,nike ksa,Phrase match,6.24,Enabled
Add,KicksCrew -General -  SA,Generic 1 - Collection,sports shoes,Phrase match,3.9,Enabled
